round,model,r2_score,weight
4,svr-poly,-0.04344304588386838,0.12264747864064157
4,ridge,-0.05770894578925136,0.12091022320593607
5,rf-tuned-l,-0.05485141042052786,0.09305113173934135
5,rf-tuned-xl,-0.07382926566469258,0.09130187193125289
5,gb-tuned-l,-0.07258511427764622,0.091415535974833
5,gb-tuned-xl,-0.07272539600106862,0.09140271294533822
5,xgb-xl,-0.2852499651949899,0.07390279073741893
5,xgb-l,-0.2852499651949899,0.07390279073741893
5,svr-rbf-xl,0.002981076579570341,0.09859116298717664
5,svr-poly-l,0.002981076579570341,0.09859116298717664
5,knn-tuned-sqrt,-0.022230639573705614,0.09613658267756851
5,knn-tuned-l,-0.022230639573705614,0.09613658267756851
5,ridge,-0.0281659250058812,0.0955676746049063
5,rf-tuned-l,-0.05485141042052786,0.09305113173934135
5,rf-tuned-xl,-0.07382926566469258,0.09130187193125289
5,gb-tuned-l,-0.07258511427764622,0.091415535974833
5,gb-tuned-xl,-0.07272539600106862,0.09140271294533822
5,xgb-xl,-0.2852499651949899,0.07390279073741893
5,xgb-l,-0.2852499651949899,0.07390279073741893
5,svr-rbf-xl,0.002981076579570341,0.09859116298717664
5,svr-poly-l,0.002981076579570341,0.09859116298717664
5,knn-tuned-sqrt,-0.022230639573705614,0.09613658267756851
5,knn-tuned-l,-0.022230639573705614,0.09613658267756851
5,ridge,-0.0281659250058812,0.0955676746049063
5,rf-tuned-l,-0.05485141042052786,0.09305113173934135
5,rf-tuned-xl,-0.07382926566469258,0.09130187193125289
5,gb-tuned-l,-0.07258511427764622,0.091415535974833
5,gb-tuned-xl,-0.07272539600106862,0.09140271294533822
5,xgb-xl,-0.2852499651949899,0.07390279073741893
5,xgb-l,-0.2852499651949899,0.07390279073741893
5,svr-rbf-xl,0.002981076579570341,0.09859116298717664
5,svr-poly-l,0.002981076579570341,0.09859116298717664
5,knn-tuned-sqrt,-0.022230639573705614,0.09613658267756851
5,knn-tuned-l,-0.022230639573705614,0.09613658267756851
5,ridge,-0.0281659250058812,0.0955676746049063
6,rf-tuned-l,-0.05925018874832151,0.1080557717075574
6,rf-tuned-xl,-0.0550704712582704,0.10850835949211024
6,gb-tuned-l,-0.05225288031275847,0.10881452278223673
6,gb-tuned-xl,-0.05225288031275843,0.10881452278223674
6,svr-rbf-xl,0.04715727944049477,0.12018773356932398
6,svr-poly-l,0.04715727944049477,0.12018773356932398
6,knn-tuned-sqrt,-0.08847171061927919,0.10494390577192317
6,knn-tuned-l,-0.08847171061927919,0.10494390577192317
6,ridge,0.0077497807506811565,0.11554354455336462
6,rf-tuned-l,-0.05925018874832151,0.1080557717075574
6,rf-tuned-xl,-0.0550704712582704,0.10850835949211024
6,gb-tuned-l,-0.05225288031275847,0.10881452278223673
6,gb-tuned-xl,-0.05225288031275843,0.10881452278223674
6,svr-rbf-xl,0.04715727944049477,0.12018773356932398
6,svr-poly-l,0.04715727944049477,0.12018773356932398
6,knn-tuned-sqrt,-0.08847171061927919,0.10494390577192317
6,knn-tuned-l,-0.08847171061927919,0.10494390577192317
6,ridge,0.0077497807506811565,0.11554354455336462
6,rf-tuned-l,-0.05925018874832151,0.1080557717075574
6,rf-tuned-xl,-0.0550704712582704,0.10850835949211024
6,gb-tuned-l,-0.05225288031275847,0.10881452278223673
6,gb-tuned-xl,-0.05225288031275843,0.10881452278223674
6,svr-rbf-xl,0.04715727944049477,0.12018773356932398
6,svr-poly-l,0.04715727944049477,0.12018773356932398
6,knn-tuned-sqrt,-0.08847171061927919,0.10494390577192317
6,knn-tuned-l,-0.08847171061927919,0.10494390577192317
6,ridge,0.0077497807506811565,0.11554354455336462
7,rf-tuned-l,-0.06834277345880975,0.11036175371203912
7,rf-tuned-xl,-0.07686196004556889,0.10942555482877483
7,gb-tuned-l,-0.02090614221223237,0.11572310031824966
7,gb-tuned-xl,-0.02090614221223237,0.11572310031824966
7,svr-rbf-xl,-0.01092110821693366,0.11688438750656305
7,svr-poly-l,-0.01092110821693366,0.11688438750656305
7,knn-tuned-sqrt,-0.1574782998667152,0.10095027951947316
7,knn-tuned-l,-0.1574782998667152,0.10095027951947316
7,ridge,-0.04385916978094817,0.11309715677061424
7,rf-tuned-l,-0.06834277345880975,0.11036175371203912
7,rf-tuned-xl,-0.07686196004556889,0.10942555482877483
7,gb-tuned-l,-0.02090614221223237,0.11572310031824966
7,gb-tuned-xl,-0.02090614221223237,0.11572310031824966
7,svr-rbf-xl,-0.01092110821693366,0.11688438750656305
7,svr-poly-l,-0.01092110821693366,0.11688438750656305
7,knn-tuned-sqrt,-0.1574782998667152,0.10095027951947316
7,knn-tuned-l,-0.1574782998667152,0.10095027951947316
7,ridge,-0.04385916978094817,0.11309715677061424
8,rf-tuned-l,-0.0203892635863554,0.08807320795538351
8,rf-tuned-xl,-0.03914408458978227,0.08643680390342498
8,gb-tuned-l,-0.003032418500416556,0.08961522454144771
8,gb-tuned-xl,-0.0030324185004166225,0.08961522454144771
8,xgb-xl,-0.25176760461748476,0.06988073730224717
8,xgb-l,-0.25176760461748476,0.06988073730224717
8,mlp-adaptive-xl,-0.2908352878448461,0.06720329996594288
8,svr-rbf-xl,0.044470538674694325,0.09397494267797075
8,svr-poly-l,0.044470538674694325,0.09397494267797075
8,knn-tuned-sqrt,-0.1026617730247982,0.08111726856820713
8,knn-tuned-l,-0.1026617730247982,0.08111726856820713
8,ridge,-0.00868224128442252,0.08911034199550309
8,rf-tuned-l,-0.0203892635863554,0.08807320795538351
8,rf-tuned-xl,-0.03914408458978227,0.08643680390342498
8,gb-tuned-l,-0.003032418500416556,0.08961522454144771
8,gb-tuned-xl,-0.0030324185004166225,0.08961522454144771
8,xgb-xl,-0.25176760461748476,0.06988073730224717
8,xgb-l,-0.25176760461748476,0.06988073730224717
8,mlp-adaptive-xl,-0.2908352878448461,0.06720329996594288
8,svr-rbf-xl,0.044470538674694325,0.09397494267797075
8,svr-poly-l,0.044470538674694325,0.09397494267797075
8,knn-tuned-sqrt,-0.1026617730247982,0.08111726856820713
8,knn-tuned-l,-0.1026617730247982,0.08111726856820713
8,ridge,-0.00868224128442252,0.08911034199550309
8,rf-tuned-l,-0.0203892635863554,0.08807320795538351
8,rf-tuned-xl,-0.03914408458978227,0.08643680390342498
8,gb-tuned-l,-0.003032418500416556,0.08961522454144771
8,gb-tuned-xl,-0.0030324185004166225,0.08961522454144771
8,xgb-xl,-0.25176760461748476,0.06988073730224717
8,xgb-l,-0.25176760461748476,0.06988073730224717
8,mlp-adaptive-xl,-0.2908352878448461,0.06720329996594288
8,svr-rbf-xl,0.044470538674694325,0.09397494267797075
8,svr-poly-l,0.044470538674694325,0.09397494267797075
8,knn-tuned-sqrt,-0.1026617730247982,0.08111726856820713
8,knn-tuned-l,-0.1026617730247982,0.08111726856820713
8,ridge,-0.00868224128442252,0.08911034199550309
9,rf-tuned-l,-0.026827094343044266,0.08881576025509577
9,rf-tuned-xl,-0.034662729715372854,0.08812255175369807
9,gb-tuned-l,-0.02587669850309855,0.08890021050839189
9,gb-tuned-xl,-0.025876698503098528,0.08890021050839189
9,xgb-xl,-0.2474802098039576,0.07122978069380596
9,xgb-l,-0.2474802098039576,0.07122978069380596
9,mlp-l,-0.2954429948001046,0.0678940372552309
9,svr-rbf-xl,0.026852295552098872,0.09371361702840329
9,svr-poly-l,0.026852295552098872,0.09371361702840329
9,knn-tuned-sqrt,-0.12685128805640788,0.08036187891433831
9,knn-tuned-l,-0.12685128805640788,0.08036187891433831
9,ridge,-0.05028383116336375,0.08675667644609641
9,rf-tuned-l,-0.026827094343044266,0.08881576025509577
9,rf-tuned-xl,-0.034662729715372854,0.08812255175369807
9,gb-tuned-l,-0.02587669850309855,0.08890021050839189
9,gb-tuned-xl,-0.025876698503098528,0.08890021050839189
9,xgb-xl,-0.2474802098039576,0.07122978069380596
9,xgb-l,-0.2474802098039576,0.07122978069380596
9,mlp-l,-0.2954429948001046,0.0678940372552309
